dexnum,name,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group
1,이상해씨,1,Grass,Poison,Seed Pokemon,0.7,6.9,Overgrow,Chlorophyll,,45,49,49,65,65,45,318,1 Sp. Atk,45,50,64,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
2,이상해풀,1,Grass,Poison,Seed Pokemon,1,13,Overgrow,Chlorophyll,,60,62,63,80,80,60,405,"1 Sp. Atk, 1 Sp. Def",45,50,142,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
3,이상해꽃,1,Grass,Poison,Seed Pokemon,2,100,Overgrow,Chlorophyll,,80,82,83,100,100,80,525,"2 Sp. Atk, 1 Sp. Def",45,50,236,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
4,파이리,1,Fire,,Lizard Pokemon,0.6,8.5,Blaze,Solar Power,,39,52,43,60,50,65,309,1 Speed,45,50,62,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
5,리자드,1,Fire,,Flame Pokemon,1.1,19,Blaze,Solar Power,,58,64,58,80,65,80,405,"1 Sp. Atk, 1 Speed",45,50,142,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
6,리자몽,1,Fire,Flying,Flame Pokemon,1.7,90.5,Blaze,Solar Power,,78,84,78,109,85,100,534,3 Sp. Atk,45,50,267,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
7,꼬부기,1,Water,,Tiny Turtle Pokemon,0.5,9,Torrent,Rain Dish,,44,48,65,50,64,43,314,1 Defense,45,50,63,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
8,어니부기,1,Water,,Turtle Pokemon,1,22.5,Torrent,Rain Dish,,59,63,80,65,80,58,405,"1 Defense, 1 Sp. Def",45,50,142,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
9,거북왕,1,Water,,Shellfish Pokemon,1.6,85.5,Torrent,Rain Dish,,79,83,100,85,105,78,530,3 Sp. Def,45,50,239,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
10,캐터피,1,Bug,,Worm Pokemon,0.3,2.9,Shield Dust,Run Away,,45,30,35,20,20,45,195,1 HP,255,50,39,Medium Fast,Bug,,50,50,15,Ordinary
11,단데기,1,Bug,,Cocoon Pokemon,0.7,9.9,Shed Skin,,,50,20,55,25,25,30,205,2 Defense,120,50,72,Medium Fast,Bug,,50,50,15,Ordinary
12,버터플,1,Bug,Flying,Butterfly Pokemon,1.1,32,Compound Eyes,Tinted Lens,,60,45,50,90,80,70,395,"2 Sp. Atk, 1 Sp. Def",45,50,178,Medium Fast,Bug,,50,50,15,Ordinary
13,뿔충이,1,Bug,Poison,Hairy Bug Pokemon,0.3,3.2,Shield Dust,Run Away,,40,35,30,20,20,50,195,1 Speed,255,50,39,Medium Fast,Bug,,50,50,15,Ordinary
14,딱충이,1,Bug,Poison,Cocoon Pokemon,0.6,10,Shed Skin,,,45,25,50,25,25,35,205,2 Defense,120,50,72,Medium Fast,Bug,,50,50,15,Ordinary
15,독침붕,1,Bug,Poison,Poison Bee Pokemon,1,29.5,Swarm,Sniper,,65,90,40,45,80,75,395,"2 Attack, 1 Sp. Def",45,50,178,Medium Fast,Bug,,50,50,15,Ordinary
16,구구,1,Normal,Flying,Tiny Bird Pokemon,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,1 Speed,255,50,50,Medium Slow,Flying,,50,50,15,Ordinary
17,피죤,1,Normal,Flying,Bird Pokemon,1.1,30,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,2 Speed,120,50,122,Medium Slow,Flying,,50,50,15,Ordinary
18,피죤투,1,Normal,Flying,Bird Pokemon,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,3 Speed,45,50,216,Medium Slow,Flying,,50,50,15,Ordinary
19,꼬렛,1,Normal,,Mouse Pokemon,0.3,3.5,Run Away,Guts,Hustle,30,56,35,25,35,72,253,1 Speed,255,50,51,Medium Fast,Field,,50,50,15,Ordinary
20,레트라,1,Normal,,Mouse Pokemon,0.7,18.5,Run Away,Guts,Hustle,55,81,60,50,70,97,413,2 Speed,127,50,145,Medium Fast,Field,,50,50,15,Ordinary
21,깨비참,1,Normal,Flying,Tiny Bird Pokemon,0.3,2,Keen Eye,Sniper,,40,60,30,31,31,70,262,1 Speed,255,50,52,Medium Fast,Flying,,50,50,15,Ordinary
22,깨비드릴조,1,Normal,Flying,Beak Pokemon,1.2,38,Keen Eye,Sniper,,65,90,65,61,61,100,442,2 Speed,90,50,155,Medium Fast,Flying,,50,50,15,Ordinary
23,아보,1,Poison,,Snake Pokemon,2,6.9,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,1 Attack,255,50,58,Medium Fast,Dragon ,Field,50,50,20,Ordinary
24,아보크,1,Poison,,Cobra Pokemon,3.5,65,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,2 Attack,90,50,157,Medium Fast,Dragon ,Field,50,50,20,Ordinary
25,피카츄,1,Electric,,Mouse Pokemon,0.4,6,Static,Lightning Rod,,35,55,40,50,50,90,320,2 Speed,190,50,112,Medium Fast,Fairy ,Field,50,50,10,Ordinary
26,라이츄,1,Electric,,Mouse Pokemon,0.8,30,Static,Lightning Rod,,60,90,55,90,80,110,485,3 Speed,75,50,243,Medium Fast,Fairy ,Field,50,50,10,Ordinary
27,모래두지,1,Ground,,Mouse Pokemon,0.6,12,Sand Veil,Sand Rush,,50,75,85,20,30,40,300,1 Defense,255,50,60,Medium Fast,Field,,50,50,20,Ordinary
28,고지,1,Ground,,Mouse Pokemon,1,29.5,Sand Veil,Sand Rush,,75,100,110,45,55,65,450,2 Defense,90,50,158,Medium Fast,Field,,50,50,20,Ordinary
29,니드런♀,1,Poison,,Poison Pin Pokemon,0.4,7,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,1 HP,235,50,55,Medium Slow,Field ,Monster,0,100,20,Ordinary
30,니드리나,1,Poison,,Poison Pin Pokemon,0.8,20,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,2 HP,120,50,128,Medium Slow,Undiscovered,,0,100,20,Ordinary
31,니드퀸,1,Poison,Ground,Drill Pokemon,1.3,60,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,3 HP,45,50,227,Medium Slow,Undiscovered,,0,100,20,Ordinary
32,니드런♂,1,Poison,,Poison Pin Pokemon,0.5,9,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,1 Attack,235,50,55,Medium Slow,Field ,Monster,100,0,20,Ordinary
33,니드리노,1,Poison,,Poison Pin Pokemon,0.9,19.5,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,2 Attack,120,50,128,Medium Slow,Field ,Monster,100,0,20,Ordinary
34,니드킹,1,Poison,Ground,Drill Pokemon,1.4,62,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,3 Attack,45,50,227,Medium Slow,Field ,Monster,100,0,20,Ordinary
35,삐삐,1,Fairy,,Fairy Pokemon,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,2 HP,150,140,113,Fast,Fairy,,25,75,10,Ordinary
36,픽시,1,Fairy,,Fairy Pokemon,1.3,40,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,3 HP,25,140,217,Fast,Fairy,,25,75,10,Ordinary
37,식스테일,1,Fire,,Fox Pokemon,0.6,9.9,Flash Fire,Drought,,38,41,40,50,65,65,299,1 Speed,190,50,60,Medium Fast,Field,,25,75,20,Ordinary
38,나인테일,1,Fire,,Fox Pokemon,1.1,19.9,Flash Fire,Drought,,73,76,75,81,100,100,505,"1 Sp. Def, 1 Speed",75,50,177,Medium Fast,Field,,25,75,20,Ordinary
39,푸린,1,Normal,Fairy,Balloon Pokemon,0.5,5.5,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,2 HP,170,50,95,Fast,Fairy,,25,75,10,Ordinary
40,푸크린,1,Normal,Fairy,Balloon Pokemon,1,12,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,3 HP,50,50,218,Fast,Fairy,,25,75,10,Ordinary
41,주뱃,1,Poison,Flying,Bat Pokemon,0.8,7.5,Inner Focus,Infiltrator,,40,45,35,30,40,55,245,1 Speed,255,50,49,Medium Fast,Flying,,50,50,15,Ordinary
42,골뱃,1,Poison,Flying,Bat Pokemon,1.6,55,Inner Focus,Infiltrator,,75,80,70,65,75,90,455,2 Speed,90,50,159,Medium Fast,Flying,,50,50,15,Ordinary
43,뚜벅쵸,1,Grass,Poison,Weed Pokemon,0.5,5.4,Chlorophyll,Run Away,,45,50,55,75,65,30,320,1 Sp. Atk,255,50,64,Medium Slow,Grass,,50,50,20,Ordinary
44,냄새꼬,1,Grass,Poison,Weed Pokemon,0.8,8.6,Chlorophyll,Stench,,60,65,70,85,75,40,395,2 Sp. Atk,120,50,138,Medium Slow,Grass,,50,50,20,Ordinary
45,라플레시아,1,Grass,Poison,Flower Pokemon,1.2,18.6,Chlorophyll,Effect Spore,,75,80,85,110,90,50,490,3 Sp. Atk,45,50,221,Medium Slow,Grass,,50,50,20,Ordinary
46,파라스,1,Bug,Grass,Mushroom Pokemon,0.3,5.4,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,1 Attack,190,50,57,Medium Fast,Bug ,Grass,50,50,20,Ordinary
47,파라섹트,1,Bug,Grass,Mushroom Pokemon,1,29.5,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,"2 Attack, 1 Defense",75,50,142,Medium Fast,Bug ,Grass,50,50,20,Ordinary
48,콘팡,1,Bug,Poison,Insect Pokemon,1,30,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,1 Sp. Def,190,50,61,Medium Fast,Bug,,50,50,20,Ordinary
49,도나리,1,Bug,Poison,Poison Moth Pokemon,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,"1 Sp. Atk, 1 Speed",75,50,158,Medium Fast,Bug,,50,50,20,Ordinary
50,디그다,1,Ground,,Mole Pokemon,0.2,0.8,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,1 Speed,255,50,53,Medium Fast,Field,,50,50,20,Ordinary
51,닥트리오,1,Ground,,Mole Pokemon,0.7,33.3,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,2 Speed,50,50,149,Medium Fast,Field,,50,50,20,Ordinary
52,나옹,1,Normal,,Scratch Cat Pokemon,0.4,4.2,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,1 Speed,255,50,58,Medium Fast,Field,,50,50,20,Ordinary
53,페르시온,1,Normal,,Classy Cat Pokemon,1,32,Limber,Technician,Unnerve,65,70,60,65,65,115,440,2 Speed,90,50,154,Medium Fast,Field,,50,50,20,Ordinary
54,고라파덕,1,Water,,Duck Pokemon,0.8,19.6,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,1 Sp. Atk,190,50,64,Medium Fast,Field ,Water 1,50,50,20,Ordinary
55,골덕,1,Water,,Duck Pokemon,1.7,76.6,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,2 Sp. Atk,75,50,175,Medium Fast,Field ,Water 1,50,50,20,Ordinary
56,망키,1,Fighting,,Pig Monkey Pokemon,0.5,28,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,1 Attack,190,50,61,Medium Fast,Field,,50,50,20,Ordinary
57,성원숭,1,Fighting,,Pig Monkey Pokemon,1,32,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,2 Attack,75,50,159,Medium Fast,Field,,50,50,20,Ordinary
58,가디,1,Fire,,Puppy Pokemon,0.7,19,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,1 Attack,190,50,70,Slow,Field,,75,25,20,Ordinary
59,윈디,1,Fire,,Legendary Pokemon,1.9,155,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,2 Attack,75,50,194,Slow,Field,,75,25,20,Ordinary
60,발챙이,1,Water,,Tadpole Pokemon,0.6,12.4,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,1 Speed,255,50,60,Medium Slow,Water 1,,50,50,20,Ordinary
61,슈륙챙이,1,Water,,Tadpole Pokemon,1,20,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,2 Speed,120,50,135,Medium Slow,Water 1,,50,50,20,Ordinary
62,강챙이,1,Water,Fighting,Tadpole Pokemon,1.3,54,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,3 Defense,45,50,230,Medium Slow,Water 1,,50,50,20,Ordinary
63,캐이시,1,Psychic,,Psi Pokemon,0.9,19.5,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,1 Sp. Atk,200,50,62,Medium Slow,Human-Like,,75,25,20,Ordinary
64,윤겔라,1,Psychic,,Psi Pokemon,1.3,56.5,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,2 Sp. Atk,100,50,140,Medium Slow,Human-Like,,75,25,20,Ordinary
65,후딘,1,Psychic,,Psi Pokemon,1.5,48,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,3 Sp. Atk,50,50,225,Medium Slow,Human-Like,,75,25,20,Ordinary
66,알통몬,1,Fighting,,Superpower Pokemon,0.8,19.5,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,1 Attack,180,50,61,Medium Slow,Human-Like,,75,25,20,Ordinary
67,근육몬,1,Fighting,,Superpower Pokemon,1.5,70.5,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,2 Attack,90,50,142,Medium Slow,Human-Like,,75,25,20,Ordinary
68,괴력몬,1,Fighting,,Superpower Pokemon,1.6,130,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,3 Attack,45,50,227,Medium Slow,Human-Like,,75,25,20,Ordinary
69,모다피,1,Grass,Poison,Flower Pokemon,0.7,4,Chlorophyll,Gluttony,,50,75,35,70,30,40,300,1 Attack,255,50,60,Medium Slow,Grass,,50,50,20,Ordinary
70,우츠동,1,Grass,Poison,Flycatcher Pokemon,1,6.4,Chlorophyll,Gluttony,,65,90,50,85,45,55,390,2 Attack,120,50,137,Medium Slow,Grass,,50,50,20,Ordinary
71,우츠보트,1,Grass,Poison,Flycatcher Pokemon,1.7,15.5,Chlorophyll,Gluttony,,80,105,65,100,70,70,490,3 Attack,45,50,221,Medium Slow,Grass,,50,50,20,Ordinary
72,왕눈해,1,Water,Poison,Jellyfish Pokemon,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,1 Sp. Def,190,50,67,Slow,Water 3,,50,50,20,Ordinary
73,독파리,1,Water,Poison,Jellyfish Pokemon,1.6,55,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,2 Sp. Def,60,50,180,Slow,Water 3,,50,50,20,Ordinary
74,꼬마돌,1,Rock,Ground,Rock Pokemon,0.4,20,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,1 Defense,255,50,60,Medium Slow,Mineral,,50,50,15,Ordinary
75,데구리,1,Rock,Ground,Rock Pokemon,1,105,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390,2 Defense,120,50,137,Medium Slow,Mineral,,50,50,15,Ordinary
76,딱구리,1,Rock,Ground,Megaton Pokemon,1.4,300,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495,3 Defense,45,50,223,Medium Slow,Mineral,,50,50,15,Ordinary
77,포니타,1,Fire,,Fire Horse Pokemon,1,30,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410,1 Speed,190,50,82,Medium Fast,Field,,50,50,20,Ordinary
78,날쌩마,1,Fire,,Fire Horse Pokemon,1.7,95,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500,2 Speed,60,50,175,Medium Fast,Field,,50,50,20,Ordinary
79,야돈,1,Water,Psychic,Dopey Pokemon,1.2,36,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315,1 HP,190,50,63,Medium Fast,Monster ,Water 1,50,50,20,Ordinary
80,야도란,1,Water,Psychic,Hermit Crab Pokemon,1.6,78.5,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490,2 Defense,75,50,172,Medium Fast,Monster ,Water 1,50,50,20,Ordinary
81,코일,1,Electric,Steel,Magnet Pokemon,0.3,6,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325,1 Sp. Atk,190,50,65,Medium Fast,Mineral,,,,20,Ordinary
82,레어코일,1,Electric,Steel,Magnet Pokemon,1,60,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465,2 Sp. Atk,60,50,163,Medium Fast,Mineral,,,,20,Ordinary
83,파오리,1,Normal,Flying,Wild Duck Pokemon,0.8,15,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377,1 Attack,45,50,132,Medium Fast,Field ,Flying,50,50,20,Ordinary
84,두두,1,Normal,Flying,Twin Bird Pokemon,1.4,39.2,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,1 Attack,190,50,62,Medium Fast,Flying,,50,50,20,Ordinary
85,두트리오,1,Normal,Flying,Triple Bird Pokemon,1.8,85.2,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,470,2 Attack,45,50,165,Medium Fast,Flying,,50,50,20,Ordinary
86,쥬쥬,1,Water,,Sea Lion Pokemon,1.1,90,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325,1 Sp. Def,190,50,65,Medium Fast,Field ,Water 1,50,50,20,Ordinary
87,쥬레곤,1,Water,Ice,Sea Lion Pokemon,1.7,120,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475,2 Sp. Def,75,50,166,Medium Fast,Field ,Water 1,50,50,20,Ordinary
88,질퍽이,1,Poison,,Sludge Pokemon,0.9,30,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325,1 HP,190,50,65,Medium Fast,Amorphous,,50,50,20,Ordinary
89,질뻐기,1,Poison,,Sludge Pokemon,1.2,30,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500,"1 HP, 1 Attack",75,50,175,Medium Fast,Amorphous,,50,50,20,Ordinary
90,셀러,1,Water,,Bivalve Pokemon,0.3,4,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305,1 Defense,190,50,61,Slow,Water 3,,50,50,20,Ordinary
91,파르셀,1,Water,Ice,Bivalve Pokemon,1.5,132.5,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525,2 Defense,60,50,184,Slow,Water 3,,50,50,20,Ordinary
92,고오스,1,Ghost,Poison,Gas Pokemon,1.3,0.1,Levitate,,,30,35,30,100,35,80,310,1 Sp. Atk,190,50,62,Medium Slow,Amorphous,,50,50,20,Ordinary
93,고우스트,1,Ghost,Poison,Gas Pokemon,1.6,0.1,Levitate,,,45,50,45,115,55,95,405,2 Sp. Atk,90,50,142,Medium Slow,Amorphous,,50,50,20,Ordinary
94,팬텀,1,Ghost,Poison,Shadow Pokemon,1.5,40.5,Cursed Body,,,60,65,60,130,75,110,500,3 Sp. Atk,45,50,250,Medium Slow,Amorphous,,50,50,20,Ordinary
95,롱스톤,1,Rock,Ground,Rock Snake Pokemon,8.8,210,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385,1 Defense,45,50,77,Medium Fast,Mineral,,50,50,25,Ordinary
96,슬리프,1,Psychic,,Hypnosis Pokemon,1,32.4,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,328,1 Sp. Def,190,50,66,Medium Fast,Human-Like,,50,50,20,Ordinary
97,슬리퍼,1,Psychic,,Hypnosis Pokemon,1.6,75.6,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483,2 Sp. Def,75,50,169,Medium Fast,Human-Like,,50,50,20,Ordinary
98,크랩,1,Water,,River Crab Pokemon,0.4,6.5,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,325,1 Attack,225,50,65,Medium Fast,Water 3,,50,50,20,Ordinary
